Sale no,Date,Region,Estate,Grade,Price (Rs/kg),Exchange Rate (LKR/USD),Rainfall
1,2024-12-23,WESTERN MEDIUM,Pothotuwa,OPI,3300,289.77,71
1,2024-12-23,WESTERN MEDIUM,Susantha,OP1,3300,289.77,71
1,2024-12-23,WESTERN MEDIUM,Harangalla,BOP,1550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dartry Valley,BOP,1550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Nayapane,BOP,1550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Craighead,BOP,1500,289.77,71
1,2024-12-23,WESTERN MEDIUM,Doombagastalawa,BOP,1460,289.77,71
1,2024-12-23,WESTERN MEDIUM,Windsorforest,BOP,1440,289.77,71
1,2024-12-23,WESTERN MEDIUM,Nayapane,BOPSP,1440,289.77,71
1,2024-12-23,WESTERN MEDIUM,Uplands,BOP,1220,289.77,71
1,2024-12-23,WESTERN MEDIUM,Vellai Oya,BOP,1200,289.77,71
1,2024-12-23,WESTERN MEDIUM,Ancoombra,BOPF/BOPFSp,1200,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dartry Valley,BOP1,2400,289.77,71
1,2024-12-23,WESTERN MEDIUM,Harangalla,BOP1,2200,289.77,71
1,2024-12-23,WESTERN MEDIUM,Craighead,BOP1,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Harangalla,FBOP/FBOPI,2150,289.77,71
1,2024-12-23,WESTERN MEDIUM,Hatale,FBOP/FBOPI,2150,289.77,71
1,2024-12-23,WESTERN MEDIUM,Craighead,FBOP/FBOPI,2050,289.77,71
1,2024-12-23,WESTERN MEDIUM,Ancoombra,FBOPF/FBOPF1,1700,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dartry Valley,OP/OPA,1380,289.77,71
1,2024-12-23,WESTERN MEDIUM,Uplands,OP/OPA,1380,289.77,71
1,2024-12-23,WESTERN MEDIUM,Miriswatta,OP,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Nilwala,OP,1700,289.77,71
1,2024-12-23,WESTERN MEDIUM,Navinda,OP,1700,289.77,71
1,2024-12-23,WESTERN MEDIUM,Pothotuwa,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Fortune,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Dullie Ella,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Susantha,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Lumbini,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Thalapalakanda,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Rotumba,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Rumassala Hills,OP,1650,289.77,71
1,2024-12-23,WESTERN MEDIUM,Liyonta,OPA,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Rotumba,OPA,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Etambagahawila,OPA,1900,289.77,71
1,2024-12-23,WESTERN MEDIUM,Adams View,PEK,2550,289.77,71
1,2024-12-23,WESTERN MEDIUM,Galatara,PEK1,2300,289.77,71
1,2024-12-23,UVA MEDIUM,Demodera 'S',OPI,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Demodera 'S',OPI,1500,289.77,20
1,2024-12-23,UVA MEDIUM,Dartry Valley,BOPSp,1500,289.77,20
1,2024-12-23,UVA MEDIUM,Uplands,BOPF/BOPFSp,2200,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,BOPF/BOPFSp,1750,289.77,20
1,2024-12-23,UVA MEDIUM,Robgill,BOP,1440,289.77,20
1,2024-12-23,UVA MEDIUM,Dessford,BOP,1480,289.77,20
1,2024-12-23,UVA MEDIUM,Wattegodde,BOP,1480,289.77,20
1,2024-12-23,UVA MEDIUM,Robgill,BOP,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Somerset,OPI,1420,289.77,20
1,2024-12-23,UVA MEDIUM,Alton,OPI,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Dessford,PEK/PEKI,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Venture,PEK/PEKI,1700,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,OP1,1280,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,PEK/PEKI,1460,289.77,20
1,2024-12-23,UVA MEDIUM,Roseland Uva,FBOP/FBOPI,1850,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,FBOPF/FBOPFI,1500,289.77,20
1,2024-12-23,UVA MEDIUM,Misty-Uva,FBOPF/FBOPFI,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Aruna Passara,FBOPF/FBOPF1,1400,289.77,20
1,2024-12-23,UVA MEDIUM,Aruna Passara,BOPF/BOPFSp,1380,289.77,20
1,2024-12-23,UVA MEDIUM,Shawlands,BOPF/BOPFSp,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Dickwella,BOPF/BOPFSp,1550,289.77,20
1,2024-12-23,UVA MEDIUM,Aruna Keppetipola,BOPF/BOPFSp,1550,289.77,20
1,2024-12-23,WESTERN HIGH,Roseland Uva,BOP1,1850,289.77,44
1,2024-12-23,WESTERN HIGH,Robgill,BOP,1440,289.77,44
1,2024-12-23,WESTERN HIGH,Dessford,BOP,1480,289.77,44
1,2024-12-23,WESTERN HIGH,Wattegodde,BOP,1480,289.77,44
1,2024-12-23,WESTERN HIGH,Robgill,BOP,1550,289.77,44
1,2024-12-23,WESTERN HIGH,Somerset,OPI,1420,289.77,44
1,2024-12-23,WESTERN HIGH,Alton,OPI,1400,289.77,44
1,2024-12-23,WESTERN HIGH,Dessford,PEK/PEKI,1400,289.77,44
1,2024-12-23,WESTERN HIGH,Venture,PEK/PEKI,1700,289.77,44
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1700,289.77,30
1,2024-12-23,UVA HIGH,Bambrakelly,BOP1,1950,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1600,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1300,289.77,30
1,2024-12-23,UVA HIGH,Bambrakelly,BOP1,1280,289.77,30
1,2024-12-23,UVA HIGH,Glenloch,BOP1,1420,289.77,30
1,2024-12-23,UVA HIGH,Venture,BOP1,1420,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOPI,1420,289.77,30
1,2024-12-23,UVA HIGH,Fairlawn,BOP1,1500,289.77,30
